,g__Porphyromonas,g__Akkermansia,g__Coprococcus,g__Treponema,g__Streptococcus,g__Pseudoalteromonas,g__Fusobacterium,g__Staphylococcus,g__Actinomyces,g__Catonella,g__Neisseria,g__Leptotrichia,g__Bacillus,g__Lactococcus,g__Mobiluncus,g__Aerococcus,g__Dialister,g__Corynebacterium,g__Acinetobacter,g__Pseudomonas,g__Lactobacillus,g__Enterococcus,g__Kingella,g__Mannheimia,g__Bifidobacterium,g__Moraxella,g__Peptococcus,g__Mycobacterium,g__Sneathia,g__Haemophilus,g__Capnocytophaga,g__Conchiformibius,g__Prevotella,g__Anaerostipes,g__Acidaminococcus,g__Aggregatibacter,g__Rothia,g__Veillonella,g__Bacteroides,g__Lautropia,g__Kocuria,g__Shuttleworthia,g__Granulicatella,g__Tannerella,g__Megasphaera,g__Schwartzia,g__Geobacillus,g__Dorea,g__Campylobacter,g__Oribacterium,g__Ruminococcus,g__Acholeplasma,g__Actinobacillus,g__Atopobium,g__Parvimonas,g__Vagococcus,g__Pasteurella,g__Thauera,g__Erwinia,g__Scardovia,g__Gallibacterium,g__Anaerococcus,g__Butyrivibrio,g__Thermus,g__Alloscardovia,g__Peptostreptococcus,g__Bulleidia,g__Paludibacter,g__Desulfobulbus,g__Sharpea,g__Clostridium,g__Mogibacterium,g__Chelonobacter,g__Slackia,g__Selenomonas,g__Tetragenococcus,g__Gemella,g__Mycoplasma,g__Peptoniphilus,g__Serratia,g__Arcanobacterium,g__Lonepinella,g__Blautia,g__Micrococcus,g__Streptobacillus,g__Halomonas,g__Filifactor,g__Necropsobacter,g__Cardiobacterium,g__Eikenella,g__Arthrobacter,g__Cloacibacterium,g__Anaerovorax,g__Chryseobacterium,g__Listeria,g__Pedobacter,g__Bergeriella,g__Enterobacter
11808.5724.SALB.W2V11,549,0,0,284,15646,0,3374,8,3664,76,45905,624,10,7,0,3,135,2482,3,0,58,9,1054,13,42,5,0,1,0,8873,4036,1,10460,2,1,1960,8531,9117,39,5889,8,44,818,85,94,0,0,1,769,1135,0,1,55,123,188,4,73,0,0,10,10,16,0,0,0,83,7,0,0,0,10,79,0,11,228,0,2460,49,30,3,1,1,3,2,4,0,21,97,229,404,1,0,0,3,0,3,15,2
11808.5735.SALB.W2V11,500,0,5,189,13923,3,7150,25,4373,21,7473,1140,12,3,9,2,36,423,6,0,57,15,133,31,121,0,1,0,1,13825,3513,0,12557,4,0,1911,6479,7160,85,878,13,4,368,58,310,0,0,2,1121,906,0,1,85,60,65,6,63,0,0,20,7,19,1,0,0,58,2,0,0,0,11,429,1,6,219,0,1767,18,31,3,7,1,2,1,10,0,40,18,38,132,2,0,0,2,0,7,3,1
11808.5791.SALB.W2V11,394,0,4,680,25395,0,5523,4,9847,50,40714,4601,15,7,1,4,82,3890,4,18,93,24,364,28,135,22,1,1,3,22997,1678,1,67024,3,1,1091,18459,23720,233,9371,18,64,447,373,392,1,0,5,1793,2929,2,1,105,192,17,8,116,10,1,105,16,25,2,0,0,89,9,0,15,0,13,1005,1,9,2031,0,1474,10,40,3,2,2,5,4,14,0,25,115,243,237,10,0,0,1,1,1,12,3
11808.5814.SALB.W2V11,219,0,0,411,1379,0,486,3,526,25,4288,168,5,1,0,0,115,270,5,2,4,2,89,9,29,0,0,1,0,4452,339,0,2576,0,0,649,771,356,31,2258,1,10,64,199,10,0,0,0,191,15,0,0,28,9,130,0,44,0,0,0,1,4,0,0,0,48,22,0,0,0,0,117,0,9,181,0,112,14,4,2,2,0,0,0,1,0,29,20,33,57,0,0,0,0,0,4,2,1
11808.5825.SALB.W2V11,1178,0,1,665,7864,0,1499,3,1115,24,1749,332,2,2,0,1,142,251,1,1,10,7,49,5,9,0,0,1,0,5137,268,0,4132,1,0,418,1919,2095,29,321,4,43,143,190,45,0,0,0,311,661,0,0,29,80,118,2,23,0,0,0,4,7,0,0,0,108,49,0,7,0,4,178,0,13,159,0,747,2,27,1,0,0,1,1,0,5,89,17,48,30,1,1,0,1,0,0,1,1
11808.5847.SALB.W2V11,259,0,0,40,3660,0,387,0,470,7,4554,32,2,1,0,0,86,360,1,0,4,3,20,3,5,0,0,0,0,2274,193,0,11277,0,0,58,1349,3053,24,12,3,1,156,60,63,0,0,0,165,250,0,0,10,54,39,2,9,0,0,4,1,3,0,0,0,6,12,0,4,0,2,26,0,0,36,0,191,15,7,1,0,0,0,1,0,0,14,8,21,20,2,0,0,0,0,1,2,1
11808.5870.SALB.W2V11,2896,0,16,386,42224,1,47407,23,5797,158,37154,1719,23,11,1,16,190,1081,5,2,65,58,535,51,27,10,5,1,3,31637,9834,1,269250,10,2,2302,9273,51247,701,2248,17,23,4087,174,2240,0,0,6,1309,3043,1,5,150,326,149,30,159,1,0,6,11,92,5,0,0,506,25,1,1,0,44,1330,0,39,802,1,7653,547,135,7,2,3,15,2,82,2,165,54,885,1160,4,0,0,30,1,4,14,5
11808.5904.SALB.W2V11,5832,1,4,1124,26293,2,78125,10,1843,456,56860,1992,16,9,2,10,247,561,14,13,41,29,1103,48,32,49,3,1,3,34292,9757,3,144342,5,2,6049,6840,31469,473,1594,8,47,1548,628,119,0,0,1,1582,1246,1,4,209,148,1304,14,170,1,2,1,25,50,1,0,0,703,28,2,6,0,33,841,1,2,511,1,6746,140,103,7,2,4,6,3,97,10,661,182,306,1436,4,0,0,9,1,1,19,10
11808.5915.SALB.W2V11,1242,0,7,295,11773,1,23405,8,2341,135,34408,726,5,2,0,9,190,593,0,1,17,17,166,41,18,4,3,0,1,35406,4864,1,121475,3,2,2910,2937,18812,361,810,6,7,534,98,155,0,0,1,1173,1947,0,2,168,105,211,7,217,0,1,0,17,26,0,0,0,279,11,0,6,0,16,662,1,5,571,0,1739,126,42,6,1,3,11,0,39,0,106,81,229,187,1,0,1,8,0,0,9,8
11808.5937.SALB.W2V11,233,0,0,19,3700,0,739,1,1295,26,3947,486,5,0,0,1,36,272,2,2,3,5,119,5,68,1,0,1,2,3932,371,0,13679,1,0,268,3035,7336,22,1014,7,2,85,126,205,0,0,1,269,488,0,0,20,34,32,3,20,0,0,0,2,4,0,0,0,12,3,0,0,0,4,103,0,0,625,0,185,0,9,1,0,0,1,2,5,0,6,5,70,49,2,0,0,0,0,1,1,1
