,g__Porphyromonas,g__Akkermansia,g__Coprococcus,g__Treponema,g__Streptococcus,g__Pseudoalteromonas,g__Fusobacterium,g__Staphylococcus,g__Actinomyces,g__Catonella,g__Neisseria,g__Leptotrichia,g__Bacillus,g__Lactococcus,g__Mobiluncus,g__Aerococcus,g__Dialister,g__Corynebacterium,g__Acinetobacter,g__Pseudomonas,g__Lactobacillus,g__Enterococcus,g__Kingella,g__Mannheimia,g__Bifidobacterium,g__Moraxella,g__Peptococcus,g__Mycobacterium,g__Sneathia,g__Haemophilus,g__Capnocytophaga,g__Conchiformibius,g__Prevotella,g__Anaerostipes,g__Acidaminococcus,g__Aggregatibacter,g__Rothia,g__Veillonella,g__Bacteroides,g__Lautropia,g__Kocuria,g__Shuttleworthia,g__Granulicatella,g__Tannerella,g__Megasphaera,g__Schwartzia,g__Geobacillus,g__Dorea,g__Campylobacter,g__Oribacterium,g__Ruminococcus,g__Acholeplasma,g__Actinobacillus,g__Atopobium,g__Parvimonas,g__Vagococcus,g__Pasteurella,g__Thauera,g__Erwinia,g__Scardovia,g__Gallibacterium,g__Anaerococcus,g__Butyrivibrio,g__Thermus,g__Alloscardovia,g__Peptostreptococcus,g__Bulleidia,g__Paludibacter,g__Desulfobulbus,g__Sharpea,g__Clostridium,g__Mogibacterium,g__Chelonobacter,g__Slackia,g__Selenomonas,g__Tetragenococcus,g__Gemella,g__Mycoplasma,g__Peptoniphilus,g__Serratia,g__Arcanobacterium,g__Lonepinella,g__Blautia,g__Micrococcus,g__Streptobacillus,g__Halomonas,g__Filifactor,g__Necropsobacter,g__Cardiobacterium,g__Eikenella,g__Arthrobacter,g__Cloacibacterium,g__Anaerovorax,g__Chryseobacterium,g__Listeria,g__Pedobacter,g__Bergeriella,g__Enterobacter
11808.3069.SALB.W2V1,714,0,0,22,967,0,284,0,78,9,811,54,2,0,0,0,5,2,0,0,0,0,19,0,0,0,0,0,0,11471,35,0,1667,0,0,146,558,661,0,62,0,0,94,4,4,6,0,0,41,8,0,0,12,2,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,26,0,0,3,0,0,0,0,0,0,0,0,3,2,8,0,0,0,0,0,16,0,3,0
11808.3137.SALB.W2V1,121,0,0,3,1575,0,185,0,465,0,450,319,3,0,0,0,0,33,0,0,0,1,11,0,0,0,0,0,0,1824,14,1,1684,0,0,269,364,555,0,27,0,0,73,5,13,0,0,0,13,12,0,0,1,1,3,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
11808.3160.SALB.W2V1,560,0,0,34,1349,0,1037,0,277,10,77,516,0,0,0,0,1,24,0,0,0,6,19,0,0,0,0,0,0,2427,275,0,2241,0,0,49,138,687,0,20,0,0,198,23,20,0,0,0,204,210,0,0,2,14,3,1,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,53,0,1,1,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,2,0,1,0
11808.3182.SALB.W2V1,68,0,0,51,2768,0,103,0,374,9,108,103,0,0,0,0,4,38,0,1,0,1,16,0,3,0,4,0,0,15736,44,0,528,0,0,2152,947,906,0,1,0,2,102,11,2,1,0,0,56,52,0,0,10,1,1,2,0,0,0,4,0,0,6,0,0,0,0,18,0,0,0,3,1,0,47,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0,3,0,0,0
11808.3193.SALB.W2V1,74,0,0,29,1223,0,118,0,465,8,47,45,0,4,0,0,10,43,0,0,0,1,7,0,0,0,1,0,0,11970,19,0,1384,0,0,107,445,2736,0,17,0,0,68,6,26,1,0,0,63,31,0,0,23,8,10,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,5,0,0,10,0,0,2,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,1,0,0,0
11808.3216.SALB.W2V1,10,0,0,5,500,0,31,0,77,2,264,4,0,0,0,0,4,23,0,0,0,1,3,0,0,0,0,0,0,6098,25,1,10895,0,0,249,70,1268,0,14,0,1,28,1,44,0,0,0,30,9,0,0,2,8,1,0,0,0,0,0,0,0,0,7,0,0,4,3,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11808.3261.SALB.W2V1,751,0,0,429,3382,0,889,0,496,27,122,332,1,0,0,0,58,39,0,0,1,3,11,0,4,0,2,0,0,7034,38,0,14541,0,0,654,478,3294,1,6,0,5,253,24,208,23,0,0,322,123,1,0,192,90,9,1,0,0,0,3,0,1,3,0,6,0,31,10,3,8,0,28,0,2,200,0,0,2,0,0,0,0,0,0,0,0,18,0,9,0,0,0,0,0,6,0,0,0
11808.3418.SALB.W2V1,356,0,0,184,6841,0,501,1,287,4,26,848,1,1,0,0,61,228,0,0,2,1,54,0,5,0,2,0,0,2135,112,0,12099,0,0,458,340,4404,0,112,0,13,138,30,147,3,0,0,167,68,2,0,28,70,18,0,0,0,0,23,0,0,3,0,115,0,16,3,0,0,0,9,1,0,700,0,0,11,0,0,0,0,0,0,0,0,12,0,17,0,0,0,0,0,3,0,0,0
11808.3452.SALB.W2V1,132,0,0,0,1102,0,145,0,363,15,270,230,3,0,0,0,8,17,0,0,0,2,10,0,5,0,0,0,0,3598,35,0,12548,0,0,95,255,5022,0,59,0,0,132,0,649,0,0,0,256,167,0,0,8,178,0,1,0,0,0,0,0,0,7,0,0,0,75,0,0,0,0,13,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0
11808.3474.SALB.W2V1,30,0,0,6,1714,0,20,0,145,2,10,59,0,0,0,0,0,7,0,0,0,3,5,0,9,0,0,0,0,4076,9,0,10354,0,0,102,172,2608,0,3,0,0,58,0,77,2,0,0,48,40,0,1,13,22,2,1,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,4,0,0,29,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
11808.3496.SALB.W2V1,4296,0,0,249,970,0,2004,0,307,26,945,570,0,0,0,0,28,38,0,0,0,2,35,0,0,0,2,0,0,6805,233,1,9523,0,0,1031,336,1857,3,264,0,3,108,15,34,14,0,0,282,141,0,1,7,18,20,2,0,1,0,4,0,0,4,0,0,1,30,6,0,0,0,19,0,0,53,0,0,10,0,0,4,0,0,0,35,0,11,3,11,0,0,0,0,0,1,0,3,0
11808.3519.SALB.W2V1,617,0,0,6,1951,1,353,0,241,5,395,198,1,1,0,0,2,22,4,2,1,0,34,0,1,0,0,0,0,10821,139,0,3708,0,0,170,664,1547,0,99,0,0,203,13,20,0,0,0,56,57,0,0,58,6,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,1,1,14,0,0,5,0,0,0,0,0,0,0,0,5,0,6,0,0,1,0,1,4,0,0,0
11808.3542.SALB.W2V1,1130,0,0,30,2552,0,751,0,488,86,893,274,2,0,0,0,28,43,0,0,5,3,38,0,1,0,1,0,0,4081,46,0,4069,0,0,75,333,2445,0,245,0,1,272,11,82,6,0,0,297,293,0,0,8,14,34,2,0,0,0,0,0,0,11,1,0,0,26,19,0,0,0,9,0,0,73,0,0,1,0,0,0,0,0,0,0,0,1,28,32,0,0,0,0,0,7,0,2,0
11808.3553.SALB.W2V1,1226,0,0,22,805,0,353,1,73,4,390,152,1,0,0,0,1,6,0,0,0,1,11,0,0,0,3,0,0,10540,39,0,2708,0,0,608,41,548,3,52,0,0,51,8,0,1,1,0,32,46,0,0,27,2,20,0,0,0,0,0,1,0,1,0,0,0,11,0,0,0,0,2,2,0,17,0,0,2,0,0,0,0,0,0,0,0,6,7,1,0,0,0,1,0,0,0,1,0
11808.3609.SALB.W2V1,218,0,0,30,586,0,239,0,77,8,342,172,3,0,0,0,12,22,0,0,0,0,12,0,0,0,5,0,0,3905,26,0,9128,0,0,406,135,2054,0,16,0,0,29,5,7,7,0,0,28,29,0,0,33,3,4,1,0,0,0,0,1,0,1,0,1,0,5,5,0,0,0,4,0,0,42,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
11808.3610.SALB.W2V1,675,0,0,0,620,0,580,0,110,0,144,107,0,0,0,0,0,4,0,0,0,1,4,0,0,0,2,0,0,8414,122,1,540,0,0,136,74,270,0,29,0,0,26,1,2,2,0,0,15,45,0,0,32,1,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,6,0
11808.3632.SALB.W2V1,13,0,0,32,4590,0,104,0,1100,5,19,120,5,0,0,0,11,46,0,0,1,6,14,0,5,0,0,0,0,406,29,0,11491,0,0,26,726,5215,0,27,0,1,302,2,133,7,0,0,209,57,0,0,6,107,10,2,0,0,0,3,0,0,1,0,0,0,4,5,0,1,0,12,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0
11808.3654.SALB.W2V1,236,0,0,16,936,0,421,0,133,22,195,127,4,0,0,0,4,18,0,0,0,0,42,0,0,0,1,0,0,10960,63,0,3921,0,0,286,129,3091,0,46,0,0,44,0,14,1,0,0,151,188,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,1,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
11808.3700.SALB.W2V1,458,0,0,188,1659,0,211,0,288,6,59,197,4,44,0,0,54,70,0,0,6,1,34,0,0,0,1,0,0,1910,66,0,10002,0,0,93,438,2773,1,7,0,1,176,11,220,25,0,0,235,39,0,0,1,20,8,2,0,0,0,18,0,1,0,0,0,0,15,8,0,0,0,2,0,2,124,0,0,1,0,0,0,0,0,0,0,0,7,0,15,1,0,0,0,0,0,0,0,0
11808.3812.SALB.W2V1,192,0,0,60,9034,0,249,5,858,3,17,109,4,0,0,0,15,196,0,0,0,8,19,0,0,0,2,0,0,9071,68,0,582,0,0,251,2530,1419,0,53,0,0,449,10,4,11,0,0,144,42,0,0,20,22,3,2,0,0,0,0,0,0,1,0,0,1,7,16,0,0,0,7,0,0,57,0,0,2,0,0,0,0,0,0,0,0,3,0,24,0,0,0,0,0,8,0,0,0
11808.3823.SALB.W2V1,1525,0,0,31,3266,1,368,0,455,34,134,137,5,0,0,0,7,46,0,0,0,5,43,0,0,0,0,0,0,6361,39,0,27389,0,0,108,955,4142,0,70,0,0,397,9,56,0,0,0,223,155,0,0,4,36,2,2,0,0,0,0,0,0,0,0,0,0,13,8,0,0,0,13,0,0,69,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,2,0
11808.3867.SALB.W2V1,317,0,0,12,1400,0,68,0,153,3,171,32,1,0,0,0,6,20,0,0,0,5,12,0,0,0,0,0,0,1834,14,0,11682,0,0,293,213,1863,0,11,0,0,104,3,56,0,0,0,31,28,0,0,12,24,3,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,3,0,0,13,0,0,1,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,0,0
11808.3878.SALB.W2V1,403,0,0,34,1998,0,441,0,695,16,147,507,3,1,0,0,42,153,0,0,1,2,117,0,0,0,1,0,0,9197,238,2,7382,0,0,571,216,12431,0,1199,0,1,136,21,204,3,0,0,188,66,0,0,7,33,5,0,0,0,0,3,0,0,4,0,0,0,26,0,0,0,0,8,1,0,200,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,1,0,0,0
11808.3889.SALB.W2V1,1414,0,0,31,1438,1,624,1,304,4,439,151,2,0,0,0,37,22,0,0,0,0,17,0,0,0,15,0,0,11855,41,3,6758,0,0,404,637,2514,0,48,0,0,61,8,38,1,0,0,75,84,0,0,11,13,90,0,1,0,0,0,1,0,0,0,0,0,11,3,0,0,0,3,0,0,21,0,1,9,0,0,0,0,0,0,0,0,4,0,5,1,0,0,0,0,1,0,1,0
11808.3957.SALB.W2V1,213,0,0,2,1370,0,20,0,153,2,1500,63,0,0,0,0,0,73,0,0,0,1,20,1,0,0,0,0,0,7672,60,3,2145,0,0,567,1334,658,0,25,0,0,70,1,1,0,17,0,57,12,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0
11808.3968.SALB.W2V1,727,0,0,30,3879,0,307,1,86,10,483,245,2,0,0,0,1,99,0,0,0,3,12,0,0,0,0,0,0,7745,112,0,612,0,0,323,231,531,0,207,0,1,250,7,2,0,0,0,59,62,0,0,2,2,1,2,0,0,0,0,1,0,0,0,0,0,7,5,0,0,0,1,0,0,13,0,0,1,0,0,1,0,0,0,0,0,1,80,11,0,0,0,0,0,1,0,0,0
11808.3980.SALB.W2V1,2675,0,0,15,1483,1,995,1,110,19,1312,329,3,0,0,0,5,29,0,0,0,4,16,0,0,0,3,0,0,4708,172,4,1132,0,0,425,234,727,0,128,0,0,286,10,1,0,8,0,40,76,0,0,408,2,28,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,1,0,5,1,0,1,0,0,0,1,0,0,0,0,0,51,15,0,0,0,5,0,6,0,5,0
11808.3991.SALB.W2V1,411,0,0,62,4950,0,274,0,444,16,100,127,3,0,0,0,16,42,0,0,0,0,7,0,0,0,0,0,0,4025,25,0,2138,0,0,64,1433,3228,1,0,0,0,271,6,30,11,0,0,233,416,1,0,0,16,14,3,0,0,0,1,0,0,2,0,0,0,9,5,0,0,0,4,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,6,0,0,0
11808.4004.SALB.W2V1,3860,0,0,14,1093,0,2103,0,117,13,175,1088,0,0,0,0,5,6,0,0,0,3,24,0,0,0,1,0,0,5688,304,0,5759,0,0,132,144,2210,1,94,0,0,123,47,15,1,0,0,164,92,0,0,8,8,128,0,1,0,0,1,0,1,3,0,0,0,20,0,0,0,0,5,0,0,27,0,0,7,0,0,0,0,0,0,0,0,2,19,1,0,0,0,0,0,4,0,1,0
11808.4015.SALB.W2V1,164,1,0,214,4495,0,633,0,543,77,50,502,3,0,0,0,72,89,0,0,12,5,14,0,0,0,3,0,0,1134,52,0,8753,0,0,86,666,6523,3,55,0,12,261,18,95,22,0,1,308,189,0,17,13,92,27,0,0,0,0,6,0,0,3,0,0,0,50,20,0,2,0,14,0,0,220,0,0,21,0,0,0,0,0,0,0,0,19,0,11,1,0,0,0,0,5,0,0,0
11808.4026.SALB.W2V1,431,0,0,18,412,0,238,0,92,4,462,212,1,0,0,0,1,9,0,0,0,0,6,0,0,0,1,0,0,2115,57,0,700,0,0,261,42,491,0,70,0,0,21,3,1,2,0,0,15,23,0,0,77,0,34,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,10,0,0,1,0,0,0,0,0,0,0,0,1,12,2,0,0,0,1,0,0,0,3,0
11808.4037.SALB.W2V1,164,0,0,5,220,0,65,0,59,5,122,40,1,0,0,0,0,2,0,0,0,0,5,0,0,0,1,0,0,3907,23,0,3339,0,0,20,78,196,0,12,0,0,17,2,6,0,0,0,28,17,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
11808.4048.SALB.W2V1,669,0,0,131,1088,0,311,0,305,26,174,143,1,0,0,0,19,6,0,0,0,1,13,0,0,0,4,0,0,2018,19,0,9002,0,0,142,90,1604,0,9,0,1,82,5,145,2,0,0,84,123,3,38,23,40,27,0,0,0,0,0,1,0,2,0,0,0,36,0,0,3,0,10,0,2,53,0,0,5,0,0,0,1,0,0,0,0,7,5,1,4,0,0,0,0,1,0,0,0
11808.4060.SALB.W2V1,453,0,0,0,461,0,253,0,255,6,257,118,2,0,0,0,2,11,0,0,0,2,6,0,0,0,0,0,0,4640,49,0,2083,0,0,312,172,601,0,41,0,0,69,4,7,0,0,0,25,62,0,0,4,0,4,0,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
11808.4105.SALB.W2V1,2800,0,0,8,724,0,420,0,74,7,308,225,0,0,0,0,3,7,0,0,5,0,29,0,0,0,0,0,0,7921,63,0,5288,0,0,28,68,1478,0,55,0,2,71,2,28,0,0,0,122,63,0,0,971,16,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,13,0,0,9,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11808.4161.SALB.W2V1,1236,0,0,424,1159,0,1386,0,115,18,218,188,0,0,0,0,59,5,1,0,0,0,23,0,0,0,0,0,0,4444,97,0,6707,0,0,907,36,1835,1,21,0,6,47,59,5,15,0,0,166,11,0,4,12,8,25,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,10,0,4,152,0,0,30,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0
11808.4183.SALB.W2V1,389,0,0,40,1269,0,1266,0,565,36,294,495,2,0,0,0,13,24,0,0,0,1,5,0,0,0,15,0,0,3901,67,0,11842,0,0,616,192,2865,2,214,0,0,168,10,256,1,17,0,562,266,0,0,2,57,27,0,0,0,0,0,0,0,10,0,0,0,27,14,0,0,0,33,0,0,230,0,1,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
11808.4206.SALB.W2V1,777,0,0,23,1449,1,251,0,159,4,1678,53,3,0,0,0,6,26,0,0,0,1,5,0,0,0,2,0,0,15335,37,1,739,0,0,662,692,434,0,81,0,3,128,8,3,2,0,0,20,8,0,0,7,6,5,2,0,0,0,1,0,0,2,0,0,0,4,2,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4,0,0,0
11808.4217.SALB.W2V1,325,0,0,133,2846,0,154,0,416,1,25,130,3,0,0,0,59,12,0,0,14,1,4,0,6,0,1,0,0,118,18,0,11562,0,0,54,932,4341,16,1,0,0,132,10,206,32,0,0,91,18,1,0,1,55,4,1,0,0,0,11,0,0,1,0,0,0,17,18,5,2,0,8,0,0,116,0,0,17,0,0,0,0,0,0,0,0,17,0,2,0,0,0,0,0,1,0,0,0
11808.4239.SALB.W2V1,314,0,0,2,4430,0,434,1,1392,36,53,305,3,0,17,0,17,52,3,0,0,7,93,0,1,0,0,0,0,2648,116,1,14779,0,0,101,306,5051,0,78,0,0,353,6,225,0,0,0,481,152,0,0,209,59,10,1,0,0,0,4,0,0,4,0,0,0,27,1,0,0,0,91,0,1,235,0,0,1,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,1,7,0,0,0
11808.4251.SALB.W2V1,205,4,0,4,919,0,100,0,340,3,1,42,1,0,0,0,3,10,0,0,3,1,5,0,0,0,0,0,0,7839,8,0,5901,0,0,66,292,2495,0,0,0,0,80,0,24,0,0,0,37,95,0,0,18,19,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
11808.4262.SALB.W2V1,1601,1,0,68,886,0,548,0,302,9,94,123,0,0,0,0,1,20,0,0,1,0,30,0,0,4,5,0,0,10275,73,0,7614,0,0,296,219,1576,4,47,0,0,47,5,2,0,0,0,73,122,0,0,390,2,1,3,1,0,0,0,0,0,3,0,0,0,18,3,0,0,0,5,0,0,37,0,0,1,0,0,0,0,0,0,0,0,0,15,10,0,0,0,21,0,2,0,4,0
11808.4273.SALB.W2V1,649,0,0,5,2913,0,274,1,371,11,655,120,2,0,0,0,0,119,0,0,1,3,50,0,0,0,2,0,0,20365,139,3,4840,0,0,959,430,2718,16,234,0,1,223,4,2,0,3,0,90,104,0,0,21,2,7,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,6,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,8,73,0,0,0,3,0,7,0,5,0
11808.4307.SALB.W2V1,4408,0,0,5,1239,0,779,0,536,23,24,313,2,0,3,0,7,22,0,0,0,1,6,0,0,0,3,0,0,8845,39,0,12365,0,0,131,319,3304,1,40,0,1,145,15,55,2,1,0,177,216,0,0,4,19,109,12,0,0,1,2,0,0,0,0,0,0,39,2,0,0,0,25,1,0,72,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0
11808.4329.SALB.W2V1,162,8,0,128,11442,0,419,2,614,7,35,557,2,2,0,0,26,201,0,1,8,2,22,0,4,0,0,0,0,7680,138,0,1644,2,0,413,855,2214,0,17,0,0,334,22,19,21,1,0,208,89,0,0,44,11,14,0,0,0,0,1,0,0,0,0,1,0,5,6,0,0,0,0,0,0,151,0,0,2,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,8,0,0,0
11808.4419.SALB.W2V1,904,0,0,16,569,0,621,0,655,2,628,1963,0,0,0,0,2,53,0,0,18,1,19,0,0,0,0,0,0,3786,380,0,7220,0,0,1932,201,3229,0,107,0,0,30,63,16,17,0,0,21,119,0,0,0,21,14,0,0,0,0,0,0,0,0,0,0,0,4,29,0,0,0,25,1,0,213,0,0,10,0,0,0,0,0,0,0,0,13,0,31,0,0,0,0,0,0,0,1,0
11808.4420.SALB.W2V1,444,1,0,16,2232,1,614,0,337,2,68,193,0,0,0,0,26,69,0,0,7,2,42,0,0,0,0,0,0,15803,92,0,810,0,0,197,935,1434,0,133,0,1,256,3,24,1,0,0,83,47,0,0,12,21,0,3,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,8,0,0,42,0,1,0,0,0,0,0,0,0,0,0,0,57,3,0,0,0,0,0,2,0,1,0
11808.4442.SALB.W2V1,707,0,0,18,2455,0,1681,0,621,17,767,709,2,0,1,0,24,61,0,0,15,2,11,0,0,0,7,0,0,7943,510,5,3656,0,0,1115,278,2568,0,290,0,4,91,25,75,5,5,0,159,131,0,0,16,17,70,2,0,0,0,6,0,0,1,2,0,0,8,8,0,0,0,6,1,0,48,0,0,4,0,0,0,0,0,0,0,0,0,3,26,1,0,0,0,0,0,0,0,0
11808.4521.SALB.W2V1,331,0,0,60,1231,0,377,1,239,34,846,144,3,0,0,0,14,35,0,0,1,0,16,0,0,1,2,0,0,1926,50,0,15196,0,0,137,329,2977,0,58,0,6,114,14,190,9,0,0,260,90,0,0,1,26,3,0,0,0,0,0,0,0,2,0,0,0,28,9,0,0,0,3,0,1,123,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0
11808.4532.SALB.W2V1,482,0,0,32,727,0,598,0,393,25,2930,297,3,0,1,0,23,67,0,1,8,1,12,0,0,0,2,0,0,4447,127,1,10189,0,0,760,169,2545,0,232,0,6,121,22,61,13,0,0,79,100,0,0,179,13,9,0,0,0,0,6,0,0,1,0,0,0,11,4,0,0,0,7,1,0,83,0,0,1,0,0,0,0,0,0,0,0,4,15,6,0,0,0,0,0,1,0,3,0
11808.4565.SALB.W2V1,163,0,0,18,8823,0,319,1,239,3,174,283,2,0,0,0,6,289,0,0,1,7,108,0,3,0,2,0,0,4006,201,0,2506,0,0,554,1585,1394,0,37,0,0,290,4,6,0,0,0,54,72,0,0,2,16,8,0,0,0,0,0,0,0,2,0,10,0,6,6,0,0,0,6,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,7,0,0,0
11808.4611.SALB.W2V1,888,0,0,7,1837,0,777,0,1137,23,231,722,2,0,1,0,3,28,0,0,0,4,52,0,0,0,5,0,0,7862,183,1,9723,0,0,371,528,5614,0,44,0,0,161,15,10,0,0,0,99,128,2,0,19,10,33,0,1,0,0,0,0,0,1,0,0,0,7,4,0,0,0,8,0,0,73,0,0,0,0,0,0,0,0,0,0,0,2,5,5,0,0,0,8,0,3,0,3,0
11808.4622.SALB.W2V1,186,0,0,6,520,0,290,0,627,25,31,58,1,0,0,0,1,21,0,0,0,6,19,0,0,0,0,0,0,3152,28,0,20562,0,0,15,178,4136,0,20,0,0,150,1,224,0,0,0,145,177,0,0,20,33,1,0,0,0,0,0,0,0,2,0,0,0,19,0,0,0,0,14,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0,0,0
11808.4655.SALB.W2V1,123,1,0,210,1863,0,484,0,366,12,73,366,0,0,0,0,31,65,0,0,7,0,5,0,25,0,1,0,0,908,31,0,6849,0,0,44,369,1581,0,44,0,3,48,36,206,6,2,0,185,20,0,0,2,41,13,0,0,0,0,3,0,0,3,0,0,0,10,18,2,0,0,8,0,0,95,2,0,28,0,0,0,0,0,0,0,0,41,0,3,0,0,0,0,0,1,0,0,0
11808.4666.SALB.W2V1,92,3,0,308,2435,1,858,8,1344,30,17,595,2,0,0,0,109,78,0,0,2,6,27,0,1,0,6,0,0,7655,221,0,3689,0,0,174,735,2314,0,101,0,6,256,24,198,16,0,0,954,184,1,0,1,72,26,0,0,0,0,1,0,0,26,0,5,0,51,3,0,0,0,33,0,2,137,0,0,14,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,6,0,0,0
11808.4677.SALB.W2V1,697,1,0,30,3432,0,417,0,118,3,184,134,1,0,0,0,4,52,0,0,14,1,21,0,0,1,4,0,9,10862,128,0,2080,0,0,354,615,1879,0,125,0,0,206,6,12,2,1,0,39,62,0,0,146,4,13,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,7,0,0,30,0,0,1,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,2,0,5,0
11808.4688.SALB.W2V1,1416,1,0,51,921,0,387,0,67,7,743,98,0,0,0,0,2,17,0,0,6,0,17,0,0,71,2,0,0,3594,65,0,1022,3,0,697,219,215,2,3,0,0,39,10,1,0,0,0,2,13,2,19,17,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,0,3,0,0,0,1,0,0,0,0,13,0,5,0,0,0,0,0,0,0,0,0
11808.4712.SALB.W2V1,606,0,0,19,1165,0,392,0,635,18,121,184,0,0,0,0,9,21,0,0,11,1,0,0,0,0,2,0,0,7751,14,0,12394,0,0,380,314,1694,0,24,0,1,160,18,34,0,0,0,100,41,0,0,127,18,8,0,0,0,0,0,0,0,0,0,0,0,25,6,0,0,0,1,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0
11808.4734.SALB.W2V1,78,0,0,14,6880,0,252,0,1500,5,378,294,3,0,0,0,18,73,1,0,1,2,8,0,1,0,0,0,0,7413,23,0,2357,0,0,277,1504,8758,0,115,6,0,248,17,124,1,0,0,154,149,0,0,9,21,2,0,0,0,0,0,0,0,0,0,1,0,11,1,0,0,0,5,0,0,71,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,3
11808.4745.SALB.W2V1,631,1,0,3,1554,1,641,0,288,0,2714,134,0,0,0,0,0,19,0,0,1,0,16,0,0,1,0,0,0,13972,229,3,856,0,0,5,473,753,0,92,0,0,93,12,16,3,0,0,38,22,0,0,213,0,13,0,0,0,0,0,0,0,0,6,0,0,10,2,0,0,0,1,1,0,9,0,0,1,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,5,0,9,3
